county_name,fips,land_area_square_miles_2010,primary_ruca_code_2010,secondary_ruca_code_2010,tract_population_2010,tract_population_2018,population_estimate_2010,population_estimate_2011,population_estimate_2012,population_estimate_2013,population_estimate_2014,population_estimate_2015,population_estimate_2016,population_estimate_2018,pct_black_pop_2010,pct_black_pop_2018,pct_white_pop_2010,pct_white_pop_2018,groc09,groc14,superc09,superc14,convs09,convs14,specs09,specs14,poverty_rate,median_family_income,pct_hhold_no_veh,pct_hhold_1_veh,pct_hhold_2plus_veh,food_desert_2010,food_desert_2017
Alamance,37001020100,1.741973322,1,1,3908,3839,151131,152847,153659,154622,156036,157857,159688,160576,0.187711323,0.191448286,0.710774097,0.702383918,23,30,4,4,85,80,6,7,32.1,33250,0.132641921,0.411026201,0.456331878,NA,0
Alamance,37001020200,1.333921624,1,1,4152,3929,151131,152847,153659,154622,156036,157857,159688,160576,0.187711323,0.191448286,0.710774097,0.702383918,23,30,4,4,85,80,6,7,35,31404,0.075067024,0.496648794,0.428284182,1,0
Alamance,37001020300,4.309391009,1,1,8063,7945,151131,152847,153659,154622,156036,157857,159688,160576,0.187711323,0.191448286,0.710774097,0.702383918,23,30,4,4,85,80,6,7,22.2,34190,0.054035088,0.356140351,0.589824561,NA,1
Alamance,37001020400,4.462622993,1,1,6059,6931,151131,152847,153659,154622,156036,157857,159688,160576,0.187711323,0.191448286,0.710774097,0.702383918,23,30,4,4,85,80,6,7,29.8,34592,0.105839416,0.422952149,0.471208435,1,1
Alamance,37001020501,2.756455628,1,1,3575,3556,151131,152847,153659,154622,156036,157857,159688,160576,0.187711323,0.191448286,0.710774097,0.702383918,23,30,4,4,85,80,6,7,23.7,45820,0.002785515,0.329387187,0.667827298,NA,1
Alamance,37001020502,2.093229003,1,1,3782,4222,151131,152847,153659,154622,156036,157857,159688,160576,0.187711323,0.191448286,0.710774097,0.702383918,23,30,4,4,85,80,6,7,28.1,40357,0.14332893,0.35006605,0.50660502,NA,1
Alamance,37001020601,2.161530092,1,1,3234,3160,151131,152847,153659,154622,156036,157857,159688,160576,0.187711323,0.191448286,0.710774097,0.702383918,23,30,4,4,85,80,6,7,6.3,98164,0.016666667,0.207971014,0.775362319,NA,0
Alamance,37001020602,1.07052079,1,1,2414,2533,151131,152847,153659,154622,156036,157857,159688,160576,0.187711323,0.191448286,0.710774097,0.702383918,23,30,4,4,85,80,6,7,8.2,72097,0.036393714,0.389578164,0.574028122,NA,0
Alamance,37001020701,2.625251546,1,1,4519,4473,151131,152847,153659,154622,156036,157857,159688,160576,0.187711323,0.191448286,0.710774097,0.702383918,23,30,4,4,85,80,6,7,6.9,58738,0.083499006,0.285785288,0.630715706,NA,0
Alamance,37001020702,2.92359038,1,1,4742,4709,151131,152847,153659,154622,156036,157857,159688,160576,0.187711323,0.191448286,0.710774097,0.702383918,23,30,4,4,85,80,6,7,14.1,60288,0.019323671,0.574440053,0.406236276,NA,0
